20x20 grid, p = 0.5, f = 0.25, 500 steps
Ma D	Mi D	Red D	 Blue D	s+	s-
14968	55033	34897	35104	29.936000	110.066000
14934	55231	35193	34972	29.868000	110.462000
14829	54920	34917	34832	29.658000	109.840000
15353	54822	35098	35077	30.706000	109.644000
15148	55090	35107	35131	30.296000	110.180000
15423	54560	34944	35039	30.846000	109.120000
15156	54998	34948	35206	30.312000	109.996000
15263	54927	35135	35055	30.526000	109.854000
15475	54536	34950	35061	30.950000	109.072000
14983	55274	35183	35074	29.966000	110.548000
14854	55458	35037	35275	29.708000	110.916000
14890	55148	34907	35131	29.780000	110.296000
15111	54911	35064	34958	30.222000	109.822000
15245	55000	35319	34926	30.490000	110.000000
15173	55151	35196	35128	30.346000	110.302000
15357	54880	35129	35108	30.714000	109.760000
15104	55219	35114	35209	30.208000	110.438000
15281	54803	35352	34732	30.562000	109.606000
15318	54951	34997	35272	30.636000	109.902000
15265	54981	35196	35050	30.530000	109.962000
15052	55102	35133	35021	30.104000	110.204000
15392	54671	34963	35100	30.784000	109.342000
14959	55356	35110	35205	29.918000	110.712000
15009	55149	35134	35024	30.018000	110.298000
15320	54960	35195	35085	30.640000	109.920000
15122	54863	34989	34996	30.244000	109.726000
15002	54523	34785	34740	30.004000	109.046000
14925	54939	34669	35195	29.850000	109.878000
15003	54725	34954	34774	30.006000	109.450000
15177	54798	34835	35140	30.354000	109.596000
15201	54759	34977	34983	30.402000	109.518000
15015	55171	34964	35222	30.030000	110.342000
14998	54872	34978	34892	29.996000	109.744000
14809	55215	35042	34982	29.618000	110.430000
15313	55114	35238	35189	30.626000	110.228000
15143	55007	35089	35061	30.286000	110.014000
15262	54829	35329	34762	30.524000	109.658000
14872	54795	34797	34870	29.744000	109.590000
15183	54695	34962	34916	30.366000	109.390000
15259	54967	35035	35191	30.518000	109.934000
15096	54696	34914	34878	30.192000	109.392000
15272	55124	35120	35276	30.544000	110.248000
14987	55048	34965	35070	29.974000	110.096000
14964	55167	34991	35140	29.928000	110.334000
15212	54807	34859	35160	30.424000	109.614000
15100	54550	34851	34799	30.200000	109.100000
15083	54793	34858	35018	30.166000	109.586000
14751	55463	34850	35364	29.502000	110.926000
15168	54857	35034	34991	30.336000	109.714000
15085	54873	34986	34972	30.170000	109.746000
14796	54566	34710	34652	29.592000	109.132000
14919	54631	34829	34721	29.838000	109.262000
15125	54998	34990	35133	30.250000	109.996000
