10x10 grid, p = 0.5, f = 0.25, 2500 steps
Ma D	Mi D	s+	s-
18038	61940	7.215200	24.776000
17786	62330	7.114400	24.932000
18010	62726	7.204000	25.090400
17927	62784	7.170800	25.113600
17925	62154	7.170000	24.861600
17660	62483	7.064000	24.993200
17693	62395	7.077200	24.958000
17953	62542	7.181200	25.016800
17371	62073	6.948400	24.829200
17879	62372	7.151600	24.948800
17610	63034	7.044000	25.213600
17938	62144	7.175200	24.857600
17970	62600	7.188000	25.040000
17802	62512	7.120800	25.004800
18057	62896	7.222800	25.158400
18007	61510	7.202800	24.604000
17817	62028	7.126800	24.811200
17915	61692	7.166000	24.676800
17935	62950	7.174000	25.180000
18029	62704	7.211600	25.081600
17470	62277	6.988000	24.910800
17939	62629	7.175600	25.051600
17791	62330	7.116400	24.932000
17740	62380	7.096000	24.952000
17523	62015	7.009200	24.806000
17866	62242	7.146400	24.896800
18027	62813	7.210800	25.125200
17901	62416	7.160400	24.966400
18041	61846	7.216400	24.738400
17671	62452	7.068400	24.980800
17761	61576	7.104400	24.630400
17519	62362	7.007600	24.944800
18012	62637	7.204800	25.054800
17701	62470	7.080400	24.988000
18236	62115	7.294400	24.846000
18002	62471	7.200800	24.988400
17890	62070	7.156000	24.828000
17973	61704	7.189200	24.681600
17892	61939	7.156800	24.775600
17922	62558	7.168800	25.023200
18029	61944	7.211600	24.777600
17990	62480	7.196000	24.992000
17642	62603	7.056800	25.041200
17824	62568	7.129600	25.027200
17939	62184	7.175600	24.873600
18015	61887	7.206000	24.754800
17935	63106	7.174000	25.242400
17701	61420	7.080400	24.568000
18068	62044	7.227200	24.817600
17906	62094	7.162400	24.837600
17822	62192	7.128800	24.876800
18105	62114	7.242000	24.845600
17719	62548	7.087600	25.019200
17746	62483	7.098400	24.993200
17741	61597	7.096400	24.638800
17880	62873	7.152000	25.149200
17907	62614	7.162800	25.045600
17570	62735	7.028000	25.094000
17867	62240	7.146800	24.896000
17985	62033	7.194000	24.813200
17509	62513	7.003600	25.005200
17582	62474	7.032800	24.989600
17953	62272	7.181200	24.908800
17957	62043	7.182800	24.817200
18141	62228	7.256400	24.891200
17850	62076	7.140000	24.830400
17506	61905	7.002400	24.762000
17887	62267	7.154800	24.906800
18155	62353	7.262000	24.941200
17778	61994	7.111200	24.797600
18134	62302	7.253600	24.920800
17684	62050	7.073600	24.820000
17738	62009	7.095200	24.803600
18107	62397	7.242800	24.958800
17858	62879	7.143200	25.151600
17897	61817	7.158800	24.726800
17796	62073	7.118400	24.829200
17894	62269	7.157600	24.907600
17941	62239	7.176400	24.895600
17819	63242	7.127600	25.296800
18072	62683	7.228800	25.073200
17534	62046	7.013600	24.818400
17856	62056	7.142400	24.822400
17838	62761	7.135200	25.104400
17678	62558	7.071200	25.023200
17637	62105	7.054800	24.842000
17761	62343	7.104400	24.937200
17546	62287	7.018400	24.914800
17851	61844	7.140400	24.737600
17805	62447	7.122000	24.978800
17845	61975	7.138000	24.790000
17888	62766	7.155200	25.106400
17680	62658	7.072000	25.063200
17881	62840	7.152400	25.136000
17694	62608	7.077600	25.043200
17595	62430	7.038000	24.972000
17758	62611	7.103200	25.044400
18006	62189	7.202400	24.875600
18015	61795	7.206000	24.718000
17738	62818	7.095200	25.127200
18009	62334	7.203600	24.933600
17624	62463	7.049600	24.985200
17883	61953	7.153200	24.781200
18230	62700	7.292000	25.080000
17552	62666	7.020800	25.066400
17605	62709	7.042000	25.083600
18104	62422	7.241600	24.968800
17439	62890	6.975600	25.156000
17431	62336	6.972400	24.934400
17461	62158	6.984400	24.863200
17779	62119	7.111600	24.847600
17707	62432	7.082800	24.972800
17936	62384	7.174400	24.953600
17897	62406	7.158800	24.962400
17729	62705	7.091600	25.082000
17923	62429	7.169200	24.971600
17892	61866	7.156800	24.746400
17891	62825	7.156400	25.130000
17800	62255	7.120000	24.902000
17797	62644	7.118800	25.057600
17841	62692	7.136400	25.076800
17431	62221	6.972400	24.888400
17965	62267	7.186000	24.906800
17860	62850	7.144000	25.140000
17839	62512	7.135600	25.004800
17892	62475	7.156800	24.990000
17958	63007	7.183200	25.202800
17853	63149	7.141200	25.259600
17917	61955	7.166800	24.782000
17665	62707	7.066000	25.082800
17924	62236	7.169600	24.894400
17778	62601	7.111200	25.040400
17514	63051	7.005600	25.220400
17847	62276	7.138800	24.910400
17412	61978	6.964800	24.791200
17451	61968	6.980400	24.787200
17935	62413	7.174000	24.965200
17880	62188	7.152000	24.875200
17648	62912	7.059200	25.164800
17919	61478	7.167600	24.591200
17830	62441	7.132000	24.976400
17817	62811	7.126800	25.124400
17976	62022	7.190400	24.808800
17702	62724	7.080800	25.089600
17628	62455	7.051200	24.982000
18033	62367	7.213200	24.946800
17738	61628	7.095200	24.651200
17714	62847	7.085600	25.138800
17765	62459	7.106000	24.983600
17693	62434	7.077200	24.973600
17965	62573	7.186000	25.029200
17806	62263	7.122400	24.905200
17722	62630	7.088800	25.052000
17652	62811	7.060800	25.124400
17947	61712	7.178800	24.684800
18031	62738	7.212400	25.095200
17919	63193	7.167600	25.277200
17827	62387	7.130800	24.954800
17781	62658	7.112400	25.063200
17817	62839	7.126800	25.135600
17772	62924	7.108800	25.169600
17848	62809	7.139200	25.123600
17905	62392	7.162000	24.956800
18147	62306	7.258800	24.922400
18090	62779	7.236000	25.111600
17608	61857	7.043200	24.742800
17934	62461	7.173600	24.984400
18355	62075	7.342000	24.830000
17412	62752	6.964800	25.100800
17878	62738	7.151200	25.095200
17812	62767	7.124800	25.106800
18001	62075	7.200400	24.830000
17862	62060	7.144800	24.824000
17921	62739	7.168400	25.095600
17862	62810	7.144800	25.124000
17529	62709	7.011600	25.083600
17689	62060	7.075600	24.824000
17544	62506	7.017600	25.002400
17704	62197	7.081600	24.878800
17721	61607	7.088400	24.642800
17902	62120	7.160800	24.848000
18087	61863	7.234800	24.745200
18103	62812	7.241200	25.124800
17686	62529	7.074400	25.011600
17933	62105	7.173200	24.842000
18067	63093	7.226800	25.237200
17501	63084	7.000400	25.233600
17968	62434	7.187200	24.973600
17733	62761	7.093200	25.104400
17906	62299	7.162400	24.919600
17770	62615	7.108000	25.046000
17958	62155	7.183200	24.862000
17885	61528	7.154000	24.611200
18075	62450	7.230000	24.980000
17470	61936	6.988000	24.774400
18081	62498	7.232400	24.999200
17869	62393	7.147600	24.957200
17832	62730	7.132800	25.092000
17906	62425	7.162400	24.970000
17821	61755	7.128400	24.702000
17691	62248	7.076400	24.899200
17823	62737	7.129200	25.094800
18023	62354	7.209200	24.941600
17555	62377	7.022000	24.950800
17780	62834	7.112000	25.133600
17944	62124	7.177600	24.849600
17611	62350	7.044400	24.940000
17696	62545	7.078400	25.018000
17902	62767	7.160800	25.106800
17941	62103	7.176400	24.841200
17605	62312	7.042000	24.924800
17402	63382	6.960800	25.352800
17931	62148	7.172400	24.859200
17814	62690	7.125600	25.076000
17888	62446	7.155200	24.978400
17795	62518	7.118000	25.007200
17896	62509	7.158400	25.003600
17773	62728	7.109200	25.091200
17911	62306	7.164400	24.922400
17911	61889	7.164400	24.755600
17529	62235	7.011600	24.894000
17813	62560	7.125200	25.024000
18200	62674	7.280000	25.069600
17620	62821	7.048000	25.128400
17987	62561	7.194800	25.024400
17887	62047	7.154800	24.818800
17876	62320	7.150400	24.928000
17883	62198	7.153200	24.879200
17637	62346	7.054800	24.938400
18131	62600	7.252400	25.040000
17851	62219	7.140400	24.887600
18008	62527	7.203200	25.010800
18097	62167	7.238800	24.866800
18014	62898	7.205600	25.159200
17893	62486	7.157200	24.994400
18095	62325	7.238000	24.930000
17994	62521	7.197600	25.008400
17883	62534	7.153200	25.013600
17961	61821	7.184400	24.728400
17695	62407	7.078000	24.962800
17706	62193	7.082400	24.877200
17909	62579	7.163600	25.031600
17886	62478	7.154400	24.991200
17733	61982	7.093200	24.792800
17414	62417	6.965600	24.966800
17759	62504	7.103600	25.001600
17857	62494	7.142800	24.997600
17920	62647	7.168000	25.058800
17871	62771	7.148400	25.108400
17913	62343	7.165200	24.937200
17600	62870	7.040000	25.148000
17573	61847	7.029200	24.738800
18262	61956	7.304800	24.782400
17572	62452	7.028800	24.980800
17729	62808	7.091600	25.123200
17906	62391	7.162400	24.956400
17746	62410	7.098400	24.964000
17745	62842	7.098000	25.136800
17954	62553	7.181600	25.021200
17557	61656	7.022800	24.662400
17858	61969	7.143200	24.787600
17752	62951	7.100800	25.180400
17784	62271	7.113600	24.908400
17687	61828	7.074800	24.731200
17918	62015	7.167200	24.806000
17993	62465	7.197200	24.986000
18061	62693	7.224400	25.077200
17718	62365	7.087200	24.946000
17805	62894	7.122000	25.157600
17929	62712	7.171600	25.084800
17805	61976	7.122000	24.790400
17844	62244	7.137600	24.897600
17546	62593	7.018400	25.037200
17924	62861	7.169600	25.144400
17767	62413	7.106800	24.965200
17702	62642	7.080800	25.056800
17410	61954	6.964000	24.781600
17919	61955	7.167600	24.782000
17858	62932	7.143200	25.172800
17597	62555	7.038800	25.022000
17945	61889	7.178000	24.755600
17891	62063	7.156400	24.825200
17446	63166	6.978400	25.266400
18050	62992	7.220000	25.196800
17587	62583	7.034800	25.033200
17826	62873	7.130400	25.149200
17888	61904	7.155200	24.761600
17886	61601	7.154400	24.640400
17913	62064	7.165200	24.825600
17736	61957	7.094400	24.782800
17716	62056	7.086400	24.822400
17732	62394	7.092800	24.957600
17882	62175	7.152800	24.870000
18145	62231	7.258000	24.892400
17948	62524	7.179200	25.009600
17945	62329	7.178000	24.931600
18294	61916	7.317600	24.766400
