10x10 grid, p = 0.43, f = 0.02, 1000 steps
Ma D	Mi D	s+	s-
384	33715	0.384000	33.715000
377	34637	0.377000	34.637000
427	33190	0.427000	33.190000
416	32540	0.416000	32.540000
413	33187	0.413000	33.187000
417	33677	0.417000	33.677000
426	33245	0.426000	33.245000
451	33839	0.451000	33.839000
402	32580	0.402000	32.580000
379	32613	0.379000	32.613000
377	33160	0.377000	33.160000
452	34054	0.452000	34.054000
441	33441	0.441000	33.441000
413	33273	0.413000	33.273000
435	34143	0.435000	34.143000
399	33224	0.399000	33.224000
421	32971	0.421000	32.971000
414	33032	0.414000	33.032000
418	32665	0.418000	32.665000
428	33771	0.428000	33.771000
398	33607	0.398000	33.607000
379	33672	0.379000	33.672000
393	33722	0.393000	33.722000
423	33255	0.423000	33.255000
417	34372	0.417000	34.372000
441	33362	0.441000	33.362000
335	32219	0.335000	32.219000
440	33982	0.440000	33.982000
406	33801	0.406000	33.801000
398	33937	0.398000	33.937000
462	32912	0.462000	32.912000
399	32939	0.399000	32.939000
434	33904	0.434000	33.904000
440	33006	0.440000	33.006000
421	33816	0.421000	33.816000
392	33693	0.392000	33.693000
433	33377	0.433000	33.377000
428	33716	0.428000	33.716000
400	33171	0.400000	33.171000
450	33855	0.450000	33.855000
411	33829	0.411000	33.829000
409	33694	0.409000	33.694000
418	34316	0.418000	34.316000
400	33539	0.400000	33.539000
422	32438	0.422000	32.438000
414	33039	0.414000	33.039000
430	33532	0.430000	33.532000
438	32781	0.438000	32.781000
395	33759	0.395000	33.759000
433	33489	0.433000	33.489000
444	32558	0.444000	32.558000
424	33358	0.424000	33.358000
414	33690	0.414000	33.690000
387	33968	0.387000	33.968000
422	33308	0.422000	33.308000
426	33037	0.426000	33.037000
410	33250	0.410000	33.250000
415	33244	0.415000	33.244000
421	33896	0.421000	33.896000
369	33300	0.369000	33.300000
445	33957	0.445000	33.957000
436	34074	0.436000	34.074000
421	33002	0.421000	33.002000
421	33518	0.421000	33.518000
416	33389	0.416000	33.389000
413	33922	0.413000	33.922000
404	32682	0.404000	32.682000
392	33052	0.392000	33.052000
440	33064	0.440000	33.064000
441	33865	0.441000	33.865000
424	33972	0.424000	33.972000
421	32866	0.421000	32.866000
386	31492	0.386000	31.492000
431	32851	0.431000	32.851000
453	32483	0.453000	32.483000
461	33913	0.461000	33.913000
425	33937	0.425000	33.937000
405	33557	0.405000	33.557000
378	33580	0.378000	33.580000
429	32442	0.429000	32.442000
404	34166	0.404000	34.166000
378	32966	0.378000	32.966000
385	33760	0.385000	33.760000
431	33032	0.431000	33.032000
413	32509	0.413000	32.509000
372	33187	0.372000	33.187000
386	33828	0.386000	33.828000
438	33480	0.438000	33.480000
429	32398	0.429000	32.398000
401	32320	0.401000	32.320000
430	33157	0.430000	33.157000
449	33265	0.449000	33.265000
403	32619	0.403000	32.619000
444	33767	0.444000	33.767000
420	33454	0.420000	33.454000
434	33343	0.434000	33.343000
450	34320	0.450000	34.320000
404	33811	0.404000	33.811000
429	32771	0.429000	32.771000
391	32633	0.391000	32.633000
409	33374	0.409000	33.374000
408	33203	0.408000	33.203000
455	33837	0.455000	33.837000
394	32759	0.394000	32.759000
439	32304	0.439000	32.304000
413	31944	0.413000	31.944000
402	32610	0.402000	32.610000
394	31512	0.394000	31.512000
435	34182	0.435000	34.182000
417	33234	0.417000	33.234000
386	33145	0.386000	33.145000
430	33347	0.430000	33.347000
407	33592	0.407000	33.592000
405	33526	0.405000	33.526000
384	32779	0.384000	32.779000
432	33268	0.432000	33.268000
442	32521	0.442000	32.521000
381	33843	0.381000	33.843000
389	33123	0.389000	33.123000
398	33395	0.398000	33.395000
403	33602	0.403000	33.602000
461	32519	0.461000	32.519000
425	33679	0.425000	33.679000
416	32350	0.416000	32.350000
369	33015	0.369000	33.015000
366	33671	0.366000	33.671000
410	34009	0.410000	34.009000
420	34800	0.420000	34.800000
418	33993	0.418000	33.993000
444	33559	0.444000	33.559000
399	32592	0.399000	32.592000
445	33014	0.445000	33.014000
422	33605	0.422000	33.605000
388	31871	0.388000	31.871000
430	33891	0.430000	33.891000
420	33994	0.420000	33.994000
444	33175	0.444000	33.175000
432	33491	0.432000	33.491000
407	33492	0.407000	33.492000
384	34232	0.384000	34.232000
439	32893	0.439000	32.893000
394	32676	0.394000	32.676000
417	33740	0.417000	33.740000
399	33548	0.399000	33.548000
369	32764	0.369000	32.764000
395	33167	0.395000	33.167000
391	34130	0.391000	34.130000
423	34215	0.423000	34.215000
392	32749	0.392000	32.749000
432	34141	0.432000	34.141000
435	33549	0.435000	33.549000
420	33766	0.420000	33.766000
394	34387	0.394000	34.387000
393	33819	0.393000	33.819000
416	33123	0.416000	33.123000
437	34063	0.437000	34.063000
416	33969	0.416000	33.969000
438	33058	0.438000	33.058000
405	32622	0.405000	32.622000
429	33454	0.429000	33.454000
381	31983	0.381000	31.983000
406	33382	0.406000	33.382000
400	33205	0.400000	33.205000
453	34049	0.453000	34.049000
400	32378	0.400000	32.378000
465	33057	0.465000	33.057000
414	33162	0.414000	33.162000
422	32224	0.422000	32.224000
380	33209	0.380000	33.209000
435	33961	0.435000	33.961000
449	33487	0.449000	33.487000
396	34030	0.396000	34.030000
448	33376	0.448000	33.376000
407	34418	0.407000	34.418000
422	32971	0.422000	32.971000
420	33074	0.420000	33.074000
414	34270	0.414000	34.270000
438	33780	0.438000	33.780000
411	34062	0.411000	34.062000
379	33064	0.379000	33.064000
385	33782	0.385000	33.782000
378	33219	0.378000	33.219000
372	32894	0.372000	32.894000
453	33180	0.453000	33.180000
443	33690	0.443000	33.690000
447	33803	0.447000	33.803000
418	32849	0.418000	32.849000
422	33698	0.422000	33.698000
429	32542	0.429000	32.542000
423	34235	0.423000	34.235000
467	33267	0.467000	33.267000
386	33549	0.386000	33.549000
435	32797	0.435000	32.797000
434	33913	0.434000	33.913000
425	33194	0.425000	33.194000
418	32601	0.418000	32.601000
380	34981	0.380000	34.981000
386	33266	0.386000	33.266000
406	32723	0.406000	32.723000
411	33435	0.411000	33.435000
451	32923	0.451000	32.923000
447	34826	0.447000	34.826000
394	34333	0.394000	34.333000
411	32411	0.411000	32.411000
412	33846	0.412000	33.846000
433	33554	0.433000	33.554000
404	33528	0.404000	33.528000
408	33958	0.408000	33.958000
410	33088	0.410000	33.088000
425	32874	0.425000	32.874000
443	32567	0.443000	32.567000
351	31159	0.351000	31.159000
413	32880	0.413000	32.880000
413	33614	0.413000	33.614000
427	33205	0.427000	33.205000
427	33460	0.427000	33.460000
398	33335	0.398000	33.335000
385	33308	0.385000	33.308000
407	33744	0.407000	33.744000
