20x20 grid, p = 0.43, f = 0.02, 500 steps
Ma D	Mi D	Red D	 Blue D	s+	s-
979	74833	38021	37791	1.958000	149.666000
897	74608	37800	37705	1.794000	149.216000
927	74505	37774	37658	1.854000	149.010000
898	74564	37691	37771	1.796000	149.128000
920	74777	37844	37853	1.840000	149.554000
904	74342	37608	37638	1.808000	148.684000
934	74075	37400	37609	1.868000	148.150000
906	75508	38256	38158	1.812000	151.016000
861	75386	38113	38134	1.722000	150.772000
890	75419	38107	38202	1.780000	150.838000
953	74426	37648	37731	1.906000	148.852000
925	74363	37672	37616	1.850000	148.726000
899	74840	37770	37969	1.798000	149.680000
873	74591	37667	37797	1.746000	149.182000
942	74902	37786	38058	1.884000	149.804000
929	74238	37722	37445	1.858000	148.476000
911	75016	37831	38096	1.822000	150.032000
897	74342	37562	37677	1.794000	148.684000
863	75013	37890	37986	1.726000	150.026000
931	74601	37820	37712	1.862000	149.202000
895	74324	37649	37570	1.790000	148.648000
900	74315	37455	37760	1.800000	148.630000
898	74386	37460	37824	1.796000	148.772000
901	74199	37547	37553	1.802000	148.398000
940	74479	37691	37728	1.880000	148.958000
951	74549	37548	37952	1.902000	149.098000
907	74694	37905	37696	1.814000	149.388000
862	74774	37706	37930	1.724000	149.548000
895	75007	37845	38057	1.790000	150.014000
935	74457	37738	37654	1.870000	148.914000
907	74770	37715	37962	1.814000	149.540000
911	74900	37975	37836	1.822000	149.800000
931	74843	37929	37845	1.862000	149.686000
920	74611	37831	37700	1.840000	149.222000
852	75322	38027	38147	1.704000	150.644000
924	74629	37864	37689	1.848000	149.258000
958	74135	37515	37578	1.916000	148.270000
925	74996	38149	37772	1.850000	149.992000
873	74987	37916	37944	1.746000	149.974000
906	75416	38119	38203	1.812000	150.832000
845	74678	37778	37745	1.690000	149.356000
914	73954	37474	37394	1.828000	147.908000
882	74730	37946	37666	1.764000	149.460000
894	73992	37501	37385	1.788000	147.984000
909	73575	37183	37301	1.818000	147.150000
924	75358	37977	38305	1.848000	150.716000
881	74807	37656	38032	1.762000	149.614000
936	74253	37568	37621	1.872000	148.506000
886	75051	38176	37761	1.772000	150.102000
942	74565	37825	37682	1.884000	149.130000
917	74392	37628	37681	1.834000	148.784000
908	74921	37841	37988	1.816000	149.842000
919	74897	37778	38038	1.838000	149.794000
870	74741	37995	37616	1.740000	149.482000
846	74983	37925	37904	1.692000	149.966000
935	74921	37937	37919	1.870000	149.842000
881	75185	37950	38116	1.762000	150.370000
904	74748	37830	37822	1.808000	149.496000
915	74512	37670	37757	1.830000	149.024000
906	74848	37958	37796	1.812000	149.696000
918	74428	37445	37901	1.836000	148.856000
867	74855	37772	37950	1.734000	149.710000
912	74373	37635	37650	1.824000	148.746000
869	74827	37720	37976	1.738000	149.654000
891	74331	37702	37520	1.782000	148.662000
913	74073	37427	37559	1.826000	148.146000
848	74395	37651	37592	1.696000	148.790000
926	74591	37696	37821	1.852000	149.182000
915	74045	37443	37517	1.830000	148.090000
922	74419	37727	37614	1.844000	148.838000
903	74214	37500	37617	1.806000	148.428000
898	74882	37836	37944	1.796000	149.764000
940	75046	37954	38032	1.880000	150.092000
911	74750	37894	37767	1.822000	149.500000
878	74785	37854	37809	1.756000	149.570000
913	74595	37542	37966	1.826000	149.190000
921	74668	37724	37865	1.842000	149.336000
912	74007	37447	37472	1.824000	148.014000
882	74493	37705	37670	1.764000	148.986000
887	74394	37562	37719	1.774000	148.788000
901	74247	37700	37448	1.802000	148.494000
907	74847	37918	37836	1.814000	149.694000
921	74171	37559	37533	1.842000	148.342000
936	74399	37582	37753	1.872000	148.798000
855	75090	37883	38062	1.710000	150.180000
902	74802	37844	37860	1.804000	149.604000
899	74298	37529	37668	1.798000	148.596000
903	74131	37463	37571	1.806000	148.262000
861	74853	37897	37817	1.722000	149.706000
927	74711	37882	37756	1.854000	149.422000
880	75036	37747	38169	1.760000	150.072000
939	74460	37720	37679	1.878000	148.920000
885	75017	38018	37884	1.770000	150.034000
937	74468	37594	37811	1.874000	148.936000
945	73864	37323	37486	1.890000	147.728000
905	74441	37749	37597	1.810000	148.882000
834	75430	38116	38148	1.668000	150.860000
849	75524	38053	38320	1.698000	151.048000
943	73967	37545	37365	1.886000	147.934000
942	74267	37546	37663	1.884000	148.534000
923	73716	37361	37278	1.846000	147.432000
866	75177	38003	38040	1.732000	150.354000
