NoOfDeaths	MinBlueDeath	MajBlueDeath	MinRedDeath	MajReadDeath
0	1	2461	1	2456
1	1	1089	0	1116
2	1	348	0	333
3	3	79	4	73
4	12	16	9	17
5	31	7	33	4
6	68	0	62	1
7	117	0	110	0
8	142	0	159	0
9	217	0	211	0
10	286	0	274	0
11	338	0	341	0
12	382	0	391	0
13	392	0	381	0
14	370	0	343	0
15	298	0	349	0
16	267	0	270	0
17	254	0	219	0
18	188	0	187	0
19	150	0	156	0
20	112	0	129	0
21	89	0	81	0
22	58	0	62	0
23	53	0	42	0
24	26	0	28	0
25	22	0	22	0
26	16	0	23	0
27	14	0	15	0
28	11	0	15	0
29	11	0	8	0
30	7	0	6	0
31	8	0	5	0
32	10	0	6	0
33	2	0	3	0
34	2	0	3	0
35	2	0	4	0
36	1	0	5	0
37	1	0	6	0
38	6	0	5	0
39	1	0	3	0
40	2	0	3	0
41	2	0	2	0
42	3	0	2	0
43	1	0	2	0
44	3	0	0	0
45	1	0	2	0
46	0	0	4	0
47	3	0	2	0
48	2	0	0	0
49	3	0	1	0
50	0	0	2	0
52	2	0	4	0
53	1	0	0	0
54	2	0	2	0
56	1	0	0	0
57	1	0	1	0
58	0	0	1	0
59	2	0	0	0
62	0	0	1	0
63	1	0	0	0
