10x10 grid, p = 0.03, f = 0.21, 1000 steps
Ma D	Mi D	s+	s-
436	1585	0.436000	1.585000
406	1607	0.406000	1.607000
407	1576	0.407000	1.576000
400	1683	0.400000	1.683000
435	1627	0.435000	1.627000
411	1622	0.411000	1.622000
405	1598	0.405000	1.598000
470	1699	0.470000	1.699000
431	1681	0.431000	1.681000
411	1751	0.411000	1.751000
438	1595	0.438000	1.595000
417	1616	0.417000	1.616000
387	1684	0.387000	1.684000
413	1566	0.413000	1.566000
416	1617	0.416000	1.617000
420	1650	0.420000	1.650000
488	1688	0.488000	1.688000
419	1599	0.419000	1.599000
426	1513	0.426000	1.513000
428	1671	0.428000	1.671000
400	1636	0.400000	1.636000
417	1645	0.417000	1.645000
469	1758	0.469000	1.758000
411	1568	0.411000	1.568000
404	1614	0.404000	1.614000
402	1698	0.402000	1.698000
448	1674	0.448000	1.674000
426	1668	0.426000	1.668000
408	1590	0.408000	1.590000
392	1650	0.392000	1.650000
414	1612	0.414000	1.612000
441	1678	0.441000	1.678000
378	1553	0.378000	1.553000
379	1638	0.379000	1.638000
450	1576	0.450000	1.576000
417	1607	0.417000	1.607000
459	1672	0.459000	1.672000
445	1735	0.445000	1.735000
407	1655	0.407000	1.655000
403	1640	0.403000	1.640000
432	1593	0.432000	1.593000
390	1665	0.390000	1.665000
399	1717	0.399000	1.717000
383	1526	0.383000	1.526000
436	1647	0.436000	1.647000
444	1625	0.444000	1.625000
403	1601	0.403000	1.601000
400	1701	0.400000	1.701000
436	1639	0.436000	1.639000
441	1600	0.441000	1.600000
405	1714	0.405000	1.714000
426	1678	0.426000	1.678000
444	1600	0.444000	1.600000
452	1670	0.452000	1.670000
405	1610	0.405000	1.610000
484	1679	0.484000	1.679000
442	1595	0.442000	1.595000
467	1673	0.467000	1.673000
414	1712	0.414000	1.712000
459	1583	0.459000	1.583000
441	1737	0.441000	1.737000
422	1600	0.422000	1.600000
442	1636	0.442000	1.636000
389	1649	0.389000	1.649000
420	1677	0.420000	1.677000
434	1620	0.434000	1.620000
432	1697	0.432000	1.697000
419	1544	0.419000	1.544000
423	1600	0.423000	1.600000
427	1635	0.427000	1.635000
395	1643	0.395000	1.643000
403	1652	0.403000	1.652000
380	1622	0.380000	1.622000
460	1731	0.460000	1.731000
399	1660	0.399000	1.660000
438	1680	0.438000	1.680000
445	1629	0.445000	1.629000
383	1549	0.383000	1.549000
386	1753	0.386000	1.753000
412	1684	0.412000	1.684000
407	1732	0.407000	1.732000
448	1549	0.448000	1.549000
425	1731	0.425000	1.731000
454	1678	0.454000	1.678000
452	1776	0.452000	1.776000
445	1638	0.445000	1.638000
417	1703	0.417000	1.703000
410	1695	0.410000	1.695000
449	1599	0.449000	1.599000
482	1632	0.482000	1.632000
435	1647	0.435000	1.647000
438	1624	0.438000	1.624000
400	1675	0.400000	1.675000
405	1670	0.405000	1.670000
449	1605	0.449000	1.605000
470	1683	0.470000	1.683000
435	1584	0.435000	1.584000
449	1690	0.449000	1.690000
445	1671	0.445000	1.671000
388	1626	0.388000	1.626000
460	1727	0.460000	1.727000
401	1668	0.401000	1.668000
419	1711	0.419000	1.711000
410	1596	0.410000	1.596000
389	1589	0.389000	1.589000
399	1567	0.399000	1.567000
434	1701	0.434000	1.701000
403	1626	0.403000	1.626000
365	1626	0.365000	1.626000
463	1688	0.463000	1.688000
394	1606	0.394000	1.606000
401	1682	0.401000	1.682000
429	1640	0.429000	1.640000
430	1693	0.430000	1.693000
453	1637	0.453000	1.637000
395	1619	0.395000	1.619000
400	1632	0.400000	1.632000
408	1620	0.408000	1.620000
445	1688	0.445000	1.688000
442	1573	0.442000	1.573000
436	1595	0.436000	1.595000
428	1522	0.428000	1.522000
407	1761	0.407000	1.761000
430	1549	0.430000	1.549000
416	1664	0.416000	1.664000
442	1688	0.442000	1.688000
410	1703	0.410000	1.703000
455	1665	0.455000	1.665000
444	1669	0.444000	1.669000
453	1760	0.453000	1.760000
401	1669	0.401000	1.669000
356	1491	0.356000	1.491000
447	1656	0.447000	1.656000
418	1613	0.418000	1.613000
397	1502	0.397000	1.502000
388	1548	0.388000	1.548000
404	1553	0.404000	1.553000
413	1635	0.413000	1.635000
424	1590	0.424000	1.590000
418	1641	0.418000	1.641000
446	1621	0.446000	1.621000
391	1700	0.391000	1.700000
442	1644	0.442000	1.644000
400	1575	0.400000	1.575000
436	1710	0.436000	1.710000
440	1709	0.440000	1.709000
386	1714	0.386000	1.714000
425	1748	0.425000	1.748000
415	1691	0.415000	1.691000
437	1703	0.437000	1.703000
463	1640	0.463000	1.640000
437	1718	0.437000	1.718000
433	1657	0.433000	1.657000
419	1601	0.419000	1.601000
442	1619	0.442000	1.619000
373	1639	0.373000	1.639000
428	1751	0.428000	1.751000
445	1730	0.445000	1.730000
377	1539	0.377000	1.539000
415	1570	0.415000	1.570000
431	1663	0.431000	1.663000
429	1652	0.429000	1.652000
414	1635	0.414000	1.635000
463	1678	0.463000	1.678000
452	1624	0.452000	1.624000
427	1678	0.427000	1.678000
442	1607	0.442000	1.607000
422	1645	0.422000	1.645000
471	1668	0.471000	1.668000
414	1608	0.414000	1.608000
414	1653	0.414000	1.653000
419	1632	0.419000	1.632000
452	1655	0.452000	1.655000
467	1750	0.467000	1.750000
448	1723	0.448000	1.723000
448	1695	0.448000	1.695000
400	1590	0.400000	1.590000
381	1552	0.381000	1.552000
447	1649	0.447000	1.649000
399	1597	0.399000	1.597000
443	1696	0.443000	1.696000
432	1608	0.432000	1.608000
437	1597	0.437000	1.597000
409	1605	0.409000	1.605000
448	1701	0.448000	1.701000
439	1617	0.439000	1.617000
413	1617	0.413000	1.617000
456	1647	0.456000	1.647000
405	1727	0.405000	1.727000
398	1596	0.398000	1.596000
430	1670	0.430000	1.670000
399	1618	0.399000	1.618000
431	1563	0.431000	1.563000
415	1635	0.415000	1.635000
428	1636	0.428000	1.636000
377	1547	0.377000	1.547000
415	1581	0.415000	1.581000
404	1573	0.404000	1.573000
435	1725	0.435000	1.725000
400	1550	0.400000	1.550000
435	1665	0.435000	1.665000
446	1636	0.446000	1.636000
483	1783	0.483000	1.783000
393	1629	0.393000	1.629000
375	1570	0.375000	1.570000
426	1616	0.426000	1.616000
432	1684	0.432000	1.684000
413	1615	0.413000	1.615000
369	1656	0.369000	1.656000
416	1640	0.416000	1.640000
449	1703	0.449000	1.703000
430	1597	0.430000	1.597000
418	1691	0.418000	1.691000
445	1661	0.445000	1.661000
400	1615	0.400000	1.615000
411	1663	0.411000	1.663000
430	1691	0.430000	1.691000
428	1640	0.428000	1.640000
404	1605	0.404000	1.605000
452	1595	0.452000	1.595000
431	1524	0.431000	1.524000
428	1689	0.428000	1.689000
358	1623	0.358000	1.623000
419	1654	0.419000	1.654000
426	1735	0.426000	1.735000
418	1669	0.418000	1.669000
391	1709	0.391000	1.709000
407	1638	0.407000	1.638000
432	1689	0.432000	1.689000
419	1665	0.419000	1.665000
394	1632	0.394000	1.632000
391	1560	0.391000	1.560000
405	1637	0.405000	1.637000
413	1592	0.413000	1.592000
442	1652	0.442000	1.652000
402	1618	0.402000	1.618000
430	1680	0.430000	1.680000
427	1628	0.427000	1.628000
423	1712	0.423000	1.712000
455	1684	0.455000	1.684000
373	1765	0.373000	1.765000
391	1632	0.391000	1.632000
417	1650	0.417000	1.650000
468	1662	0.468000	1.662000
358	1660	0.358000	1.660000
431	1636	0.431000	1.636000
413	1538	0.413000	1.538000
418	1672	0.418000	1.672000
462	1706	0.462000	1.706000
463	1682	0.463000	1.682000
428	1662	0.428000	1.662000
388	1691	0.388000	1.691000
400	1590	0.400000	1.590000
398	1554	0.398000	1.554000
373	1667	0.373000	1.667000
407	1582	0.407000	1.582000
409	1563	0.409000	1.563000
393	1565	0.393000	1.565000
389	1479	0.389000	1.479000
419	1651	0.419000	1.651000
371	1616	0.371000	1.616000
414	1665	0.414000	1.665000
448	1723	0.448000	1.723000
429	1653	0.429000	1.653000
395	1612	0.395000	1.612000
400	1635	0.400000	1.635000
419	1620	0.419000	1.620000
421	1632	0.421000	1.632000
421	1583	0.421000	1.583000
451	1711	0.451000	1.711000
407	1703	0.407000	1.703000
434	1645	0.434000	1.645000
386	1613	0.386000	1.613000
420	1689	0.420000	1.689000
422	1686	0.422000	1.686000
428	1630	0.428000	1.630000
441	1740	0.441000	1.740000
427	1768	0.427000	1.768000
