20x20 grid, p = 0.7, redf = 0.4, bluef = 0.2, 500 steps
Ma D	Mi D	Red D	 Blue D	red s+	blue s+	s-
20777	63062	41351	42488	27.594000	13.960000	126.124000
20862	62071	40857	42076	27.800000	13.924000	124.142000
20937	61872	40783	42026	27.934000	13.940000	123.744000
21340	62728	41232	42836	28.176000	14.504000	125.456000
21037	63272	41415	42894	27.872000	14.202000	126.544000
21190	63334	41815	42709	28.180000	14.200000	126.668000
21068	62157	41199	42026	28.096000	14.040000	124.314000
21268	63072	41519	42821	28.314000	14.222000	126.144000
21374	63072	41553	42893	28.294000	14.454000	126.144000
21105	63207	41493	42819	28.024000	14.186000	126.414000
21038	62483	41272	42249	28.096000	13.980000	124.966000
21086	63993	41792	43287	27.980000	14.192000	127.986000
21182	63188	41359	43011	28.004000	14.360000	126.376000
20886	63067	41348	42605	27.762000	14.010000	126.134000
20959	64115	41766	43308	27.810000	14.108000	128.230000
21283	62540	41435	42388	28.344000	14.222000	125.080000
20909	63118	41362	42665	27.726000	14.092000	126.236000
20810	63596	41334	43072	27.702000	13.918000	127.192000
21003	62618	41287	42334	28.006000	14.000000	125.236000
21004	63071	41254	42821	27.942000	14.066000	126.142000
21423	63937	41880	43480	28.138000	14.708000	127.874000
20882	63585	41630	42837	27.772000	13.992000	127.170000
21027	64232	41912	43347	27.966000	14.088000	128.464000
20833	63366	41344	42855	27.802000	13.864000	126.732000
20815	62762	41251	42326	27.694000	13.936000	125.524000
21072	62874	41185	42761	28.082000	14.062000	125.748000
20975	62863	41120	42718	28.014000	13.936000	125.726000
20854	61993	40825	42022	27.930000	13.778000	123.986000
21067	63326	41606	42787	27.954000	14.180000	126.652000
21176	63339	41548	42967	28.034000	14.318000	126.678000
21257	62982	41447	42792	28.056000	14.458000	125.964000
21087	63976	41660	43403	28.010000	14.164000	127.952000
21112	62943	41332	42723	28.058000	14.166000	125.886000
21046	62994	41436	42604	28.016000	14.076000	125.988000
21230	62265	40982	42513	28.320000	14.140000	124.530000
21513	63717	41807	43423	28.626000	14.400000	127.434000
20527	62960	41151	42336	27.582000	13.472000	125.920000
21036	62885	41448	42473	28.212000	13.860000	125.770000
21078	64012	41832	43258	28.002000	14.154000	128.024000
21083	62394	40956	42521	28.030000	14.136000	124.788000
21295	63167	41662	42800	28.372000	14.218000	126.334000
21275	62904	41426	42753	28.322000	14.228000	125.808000
21111	63065	41459	42717	28.086000	14.136000	126.130000
21088	62830	41205	42713	28.050000	14.126000	125.660000
20976	63107	41417	42666	28.032000	13.920000	126.214000
21037	62609	41086	42560	27.698000	14.376000	125.218000
21055	62647	41226	42476	27.992000	14.118000	125.294000
20941	61970	40786	42125	27.976000	13.906000	123.940000
20839	62462	40944	42357	27.748000	13.930000	124.924000
20733	62458	40951	42240	27.618000	13.848000	124.916000
21517	62446	41343	42620	28.432000	14.602000	124.892000
21361	63740	41835	43266	28.268000	14.454000	127.480000
20933	62925	41295	42563	27.932000	13.934000	125.850000
21138	62550	41165	42523	28.252000	14.024000	125.100000
21176	62626	41264	42538	28.244000	14.108000	125.252000
20917	61995	40722	42190	28.000000	13.834000	123.990000
21344	62542	41320	42566	28.260000	14.428000	125.084000
21165	63731	41772	43124	28.066000	14.264000	127.462000
20443	62818	41075	42186	27.214000	13.672000	125.636000
20942	62914	41157	42699	27.844000	14.040000	125.828000
21051	62634	41252	42433	28.034000	14.068000	125.268000
21512	64136	42169	43479	28.350000	14.674000	128.272000
20946	62311	40999	42258	27.976000	13.916000	124.622000
20830	61860	40760	41930	27.834000	13.826000	123.720000
21415	62720	41361	42774	28.348000	14.482000	125.440000
20749	61935	40770	41914	27.770000	13.728000	123.870000
20815	62067	40755	42127	27.882000	13.748000	124.134000
20957	63570	41601	42926	27.850000	14.064000	127.140000
21292	64114	41938	43468	28.254000	14.330000	128.228000
20943	62823	41209	42557	27.918000	13.968000	125.646000
21357	63535	41765	43127	28.320000	14.394000	127.070000
21477	64110	41858	43729	28.302000	14.652000	128.220000
20633	62532	40922	42243	27.602000	13.664000	125.064000
21222	63137	41528	42831	28.290000	14.154000	126.274000
21167	62278	41102	42343	28.322000	14.012000	124.556000
20730	62864	41076	42518	27.554000	13.906000	125.728000
20974	62711	41163	42522	27.824000	14.124000	125.422000
21480	63510	41764	43226	28.450000	14.510000	127.020000
21233	62620	41307	42546	28.324000	14.142000	125.240000
20720	61996	40880	41836	27.842000	13.598000	123.992000
21396	63344	41683	43057	28.266000	14.526000	126.688000
20848	62643	41036	42455	27.776000	13.920000	125.286000
21223	63353	41527	43049	28.232000	14.214000	126.706000
21073	63170	41336	42907	28.058000	14.088000	126.340000
20751	61863	40686	41928	27.818000	13.684000	123.726000
21374	63614	41843	43145	28.320000	14.428000	127.228000
21156	62874	41404	42626	28.274000	14.038000	125.748000
21113	63929	41655	43387	27.856000	14.370000	127.858000
20758	63424	41263	42919	27.608000	13.908000	126.848000
21149	63463	41392	43220	28.036000	14.262000	126.926000
20758	62836	41181	42413	27.694000	13.822000	125.672000
21002	62991	41181	42812	27.922000	14.082000	125.982000
20992	64243	41960	43275	27.730000	14.254000	128.486000
20570	62124	40831	41863	27.494000	13.646000	124.248000
21350	63507	41765	43092	28.268000	14.432000	127.014000
20707	61907	40851	41763	27.732000	13.682000	123.814000
21320	63069	41663	42726	28.300000	14.340000	126.138000
20479	63809	41507	42781	27.248000	13.710000	127.618000
20642	62550	40812	42380	27.572000	13.712000	125.100000
21247	63591	41676	43162	28.244000	14.250000	127.182000
20877	61931	40913	41895	28.088000	13.666000	123.862000
20739	62281	41094	41926	27.772000	13.706000	124.562000
21338	63815	41786	43367	28.248000	14.428000	127.630000
21148	62875	41282	42741	27.984000	14.312000	125.750000
21120	63267	41412	42975	27.970000	14.270000	126.534000
21299	64027	41963	43363	28.116000	14.482000	128.054000
21286	63878	41874	43290	28.210000	14.362000	127.756000
20838	61409	40605	41642	27.890000	13.786000	122.818000
20766	63327	41524	42569	27.720000	13.812000	126.654000
