Step	MinBlueDeath	MajBlueDeath	MinRedDeath	MajReadDeath
316	105	29	102	22
317	128	21	108	19
318	100	23	106	20
319	102	13	102	11
320	119	26	111	21
321	105	19	116	21
322	108	39	95	30
323	96	15	99	20
324	126	23	106	26
325	99	24	113	18
326	106	24	106	24
327	125	29	119	25
328	103	12	103	10
329	118	24	115	18
330	104	17	115	14
331	94	26	111	23
332	105	19	97	24
333	96	21	96	26
334	105	18	109	19
335	108	27	105	34
336	95	31	98	27
337	99	22	95	27
338	104	21	115	19
339	107	28	100	24
340	105	27	113	26
341	107	29	112	24
342	105	10	111	12
343	126	25	98	23
344	99	26	96	24
345	105	22	90	25
346	97	28	110	23
347	115	25	111	20
348	130	20	98	19
349	106	21	123	18
350	115	17	104	16
351	117	16	103	18
352	120	26	108	31
353	100	15	100	17
354	123	26	109	30
355	101	19	109	22
356	122	25	94	27
357	92	17	86	18
358	109	25	103	23
359	114	22	116	22
360	92	17	112	16
361	105	23	92	27
362	110	17	114	13
363	92	23	122	23
364	100	23	104	29
365	111	38	117	31
366	117	17	108	16
367	112	40	100	29
368	115	20	116	20
369	125	18	111	19
370	127	24	117	14
371	87	22	102	18
372	108	21	119	21
373	95	22	113	21
374	102	24	101	19
375	97	34	83	24
376	100	23	121	24
377	109	23	104	30
378	110	16	122	14
379	101	12	104	10
380	114	24	124	23
381	111	33	112	32
382	113	9	114	11
383	101	35	97	32
384	112	25	111	33
385	118	19	121	20
386	109	26	106	19
387	124	21	104	22
388	104	20	106	22
389	120	29	112	32
390	101	14	87	21
391	96	17	108	22
392	105	26	117	28
393	110	23	102	21
394	98	18	89	20
395	105	25	106	23
396	110	22	107	20
397	107	22	105	24
398	102	19	105	27
399	95	22	99	30
400	114	18	94	23
401	104	33	116	37
402	106	22	105	26
403	107	27	119	25
404	97	16	88	14
405	111	17	118	20
406	136	27	120	20
407	119	14	99	15
408	95	21	95	21
409	118	25	112	28
410	118	18	116	21
411	125	18	127	16
412	117	26	100	25
413	110	18	105	22
414	105	22	104	25
415	97	20	112	24
416	101	23	94	17
417	117	25	119	23
418	89	22	94	27
419	100	41	103	48
420	80	17	78	18
421	114	27	105	26
422	106	37	125	41
423	100	24	97	25
424	115	14	104	15
425	107	16	124	18
426	110	25	97	21
427	106	20	100	23
428	101	23	105	18
429	110	17	100	18
430	101	19	97	20
431	102	23	99	21
432	98	21	99	22
433	109	23	109	22
434	112	26	104	23
435	98	32	92	30
436	118	16	103	18
437	98	15	96	16
438	96	31	93	30
439	110	27	102	30
440	100	23	107	23
441	102	23	98	22
442	99	18	100	18
443	111	20	109	22
444	122	25	110	26
445	106	33	96	36
446	115	25	106	27
447	116	17	114	27
448	106	18	96	18
449	116	24	112	22
450	134	18	107	16
451	109	23	103	20
452	105	23	107	23
453	106	28	107	27
454	126	22	115	19
455	133	24	112	23
456	112	15	111	16
457	122	19	117	19
458	89	18	85	17
459	99	22	97	18
460	80	21	102	22
461	104	21	109	18
462	102	20	120	21
463	98	17	83	17
464	113	28	109	24
465	126	23	107	26
466	97	20	105	24
467	92	23	105	18
468	98	27	107	27
469	110	17	118	19
470	108	14	97	11
471	93	27	111	25
472	107	29	104	27
473	123	27	110	27
474	119	22	107	23
475	104	21	103	19
476	92	22	97	26
477	114	16	115	22
478	108	23	109	24
479	109	25	103	25
480	102	10	98	11
481	111	23	110	28
482	91	28	103	25
483	114	25	104	28
484	92	25	102	21
485	124	20	117	20
486	114	16	121	15
487	98	20	97	17
488	112	14	113	16
489	107	23	106	24
490	98	22	107	14
491	120	21	96	15
492	112	30	116	22
493	100	25	98	25
494	82	36	90	33
495	103	15	97	15
496	120	21	88	23
497	129	22	118	28
498	111	24	108	29
499	94	24	116	25
500	100	19	99	25
501	125	20	112	19
502	97	19	105	20
503	128	17	110	14
504	126	16	111	16
505	89	30	103	34
506	91	25	95	20
507	99	22	105	21
508	99	19	97	17
509	103	29	101	34
510	106	28	111	27
511	104	18	100	16
512	100	23	123	17
513	102	15	95	10
514	96	28	122	26
515	90	20	98	22
516	110	23	95	19
517	95	27	98	20
518	103	33	93	32
519	104	33	112	26
520	106	26	113	25
521	105	28	107	24
522	99	17	90	18
523	115	22	111	28
524	107	26	107	26
525	96	26	89	26
526	113	12	104	13
527	107	25	101	29
528	109	17	104	14
529	95	17	83	18
530	107	21	97	22
531	101	27	110	25
532	120	22	96	28
533	101	18	99	19
534	112	27	108	29
535	99	14	92	16
536	110	18	105	19
537	115	27	102	28
538	104	27	108	26
539	103	24	102	25
540	116	12	99	12
541	94	29	104	29
542	102	27	117	27
543	98	19	99	22
544	119	33	98	38
545	97	20	97	22
546	120	18	110	19
547	104	23	101	25
548	101	18	118	12
549	118	29	123	33
550	84	24	106	17
551	93	24	111	19
552	104	23	116	26
553	114	15	120	17
554	93	24	120	24
555	99	31	96	25
556	98	18	104	25
557	115	13	106	11
558	125	18	118	20
559	114	20	112	20
560	104	27	94	28
561	106	35	108	40
562	115	23	97	24
563	107	18	101	17
564	111	20	133	17
565	114	19	118	23
566	90	26	94	28
567	96	33	89	32
568	107	21	95	20
569	101	25	111	25
570	111	16	102	14
571	117	22	124	18
572	98	31	104	21
573	95	26	110	18
574	97	26	105	30
575	95	17	90	17
576	101	31	113	25
577	107	22	119	21
578	131	17	110	13
579	100	24	121	22
580	103	22	111	22
581	119	32	108	27
582	105	26	117	26
583	82	20	94	19
584	114	29	119	22
585	105	27	105	26
586	115	20	106	22
587	106	22	112	23
588	101	22	99	21
589	96	25	122	12
590	102	25	96	20
591	112	20	99	19
592	124	25	122	24
593	91	16	97	18
594	105	33	107	31
595	96	29	104	22
596	113	23	109	23
597	105	26	102	22
598	106	27	86	24
599	118	20	116	18
600	89	29	102	24
601	102	21	109	20
602	115	22	107	21
603	115	22	104	18
604	113	22	91	23
605	122	21	103	26
606	119	24	114	23
607	107	22	116	17
608	102	32	105	28
609	105	21	116	19
610	103	24	104	23
611	98	28	111	14
612	100	12	106	14
613	129	28	118	34
614	103	10	108	12
615	100	19	127	17
616	93	22	112	27
617	117	12	102	16
618	109	30	114	23
619	84	16	81	19
620	108	20	104	16
621	112	30	119	26
622	98	20	110	21
623	102	19	109	19
624	99	24	117	30
625	94	19	106	16
626	103	20	123	21
627	82	28	98	23
628	97	20	81	23
629	100	17	106	16
630	112	17	108	19
631	121	30	136	27
632	98	23	95	20
633	111	29	111	23
634	103	24	116	27
635	97	23	109	21
636	120	30	113	28
637	100	23	102	24
638	105	24	102	21
639	109	12	117	18
640	109	15	115	17
641	83	29	88	25
642	110	28	91	26
643	91	19	114	22
644	108	23	102	15
645	117	21	117	16
646	107	27	104	22
647	85	14	106	20
648	121	25	110	24
649	107	23	114	21
650	106	20	101	23
651	103	20	122	18
652	110	13	106	17
653	89	17	102	17
654	110	25	121	34
655	89	27	97	26
656	88	21	88	19
657	114	13	106	17
658	104	21	124	25
659	100	35	96	37
660	101	23	116	22
661	122	19	116	28
662	112	38	88	30
663	118	23	95	24
664	118	29	124	27
665	84	19	98	19
666	101	26	124	25
667	99	23	122	20
668	102	20	98	21
669	113	21	111	22
670	105	19	90	17
671	98	22	104	21
672	119	25	125	30
673	87	24	108	26
674	110	19	111	23
675	109	21	103	25
676	98	22	101	21
677	125	27	107	27
678	108	24	97	27
679	127	30	101	32
680	80	18	121	18
681	93	23	129	20
682	109	20	111	22
683	100	32	127	26
684	91	26	103	27
685	97	18	107	22
686	119	18	100	24
687	105	20	111	25
688	118	27	111	23
689	101	21	92	20
690	120	22	111	16
691	117	15	94	16
692	130	19	115	14
693	104	17	108	16
694	99	23	107	19
695	96	20	96	21
696	108	29	98	29
697	92	23	100	24
698	106	22	111	21
699	103	28	103	25
700	106	29	98	29
701	105	24	112	21
702	91	26	111	22
703	102	20	109	22
704	105	21	117	21
705	79	24	81	26
706	122	32	98	29
707	108	26	113	25
708	97	21	110	18
709	127	18	119	16
710	107	21	111	25
711	97	25	110	21
712	118	16	119	13
713	112	16	101	16
714	117	25	98	26
715	117	25	101	17
716	98	35	105	32
717	91	38	81	33
718	92	18	91	19
719	108	15	122	13
720	101	28	87	29
721	111	24	124	18
722	121	14	104	14
723	116	19	90	17
724	103	30	111	33
725	102	10	106	10
726	119	28	117	29
727	112	27	99	22
728	114	21	111	18
729	103	26	123	25
730	104	18	110	22
731	98	24	98	24
732	108	29	114	27
733	100	26	97	30
734	93	19	97	17
735	128	15	112	16
736	102	24	101	26
737	82	33	103	35
738	94	28	112	33
739	95	22	121	26
740	126	14	108	19
741	97	20	114	13
742	124	19	117	20
743	98	22	114	25
744	97	14	110	18
745	108	32	110	29
746	116	18	111	22
747	128	26	108	20
748	111	13	105	13
749	108	23	118	21
750	117	18	102	19
751	109	25	100	24
752	113	27	108	34
753	94	25	87	31
754	102	28	99	24
755	101	22	107	26
756	124	22	107	23
757	105	18	108	23
758	111	23	118	22
759	109	12	120	10
760	101	21	92	17
761	103	22	99	23
762	108	23	114	27
763	94	26	90	25
764	95	22	113	28
765	111	21	118	27
766	108	18	101	27
767	110	38	110	29
768	92	23	94	23
769	112	15	98	21
770	103	29	100	33
771	100	14	104	16
772	106	19	109	20
773	94	27	102	23
774	109	33	117	41
775	100	19	112	15
776	111	16	103	18
777	115	27	111	18
778	114	12	101	15
779	101	30	107	25
780	128	21	129	28
781	107	21	107	23
782	113	22	95	28
783	131	20	105	19
784	95	17	114	23
785	108	21	109	19
786	104	23	96	32
787	105	31	111	33
788	115	24	108	20
789	112	24	97	21
790	111	19	108	24
791	118	28	103	25
792	112	30	105	27
793	115	30	111	34
794	105	14	97	13
795	137	27	123	17
796	113	22	116	19
797	106	16	119	20
798	112	9	112	10
799	84	19	88	17
800	102	20	107	25
801	100	24	98	34
802	97	46	109	41
803	125	19	92	17
804	97	27	119	26
805	105	17	105	18
806	119	14	119	12
807	114	23	108	26
808	110	27	102	22
809	90	23	97	28
810	102	30	125	28
811	102	21	94	23
812	112	21	121	20
813	135	16	101	19
814	112	27	109	22
815	99	19	110	20
816	102	28	117	23
817	118	26	104	24
818	111	30	115	29
819	99	29	90	27
820	110	18	114	19
821	126	21	117	24
822	103	28	95	30
823	91	15	92	14
824	113	17	105	14
825	113	27	111	25
826	105	17	106	15
827	95	30	111	27
828	103	22	101	27
829	101	19	106	24
830	108	20	103	20
831	103	15	109	30
832	130	23	120	24
833	106	24	114	24
834	100	17	103	15
835	121	29	121	33
836	88	20	100	21
837	117	26	118	20
838	124	24	111	20
839	112	27	100	21
840	105	23	107	21
841	113	16	122	19
842	114	24	98	27
843	126	19	106	21
844	98	15	102	17
845	105	22	122	19
