Step	MinBlueDeath	MajBlueDeath	MinRedDeath	MajReadDeath
1345	95	25	117	23
1346	95	14	87	13
1347	118	19	99	19
1348	98	18	89	19
1349	85	24	94	22
1350	101	23	105	17
1351	104	20	115	17
1352	91	26	92	24
1353	107	18	103	18
1354	110	26	97	21
1355	98	21	100	21
1356	89	30	110	27
1357	89	17	94	19
1358	109	21	125	23
1359	95	19	108	22
1360	116	20	128	22
1361	88	18	113	12
1362	110	28	100	21
1363	113	23	99	21
1364	100	33	101	29
1365	106	20	89	19
1366	107	23	111	26
1367	99	26	99	20
1368	112	29	135	25
1369	98	15	97	12
1370	105	23	94	18
1371	116	22	116	23
1372	131	15	121	16
1373	102	21	95	24
1374	113	23	100	29
1375	93	14	103	14
1376	105	22	118	23
1377	112	23	106	23
1378	104	16	95	17
1379	107	27	109	25
1380	112	28	98	34
1381	106	15	102	21
1382	112	21	105	25
1383	116	21	105	23
1384	120	6	113	7
1385	97	25	102	35
1386	90	22	94	31
1387	106	25	122	25
1388	100	29	110	38
1389	110	21	102	19
1390	124	15	119	17
1391	105	13	106	13
1392	117	32	97	29
1393	96	23	84	19
1394	113	26	102	36
1395	100	18	102	23
1396	122	26	122	30
1397	105	11	93	13
1398	107	13	112	19
1399	96	24	98	26
1400	97	21	104	26
1401	95	24	106	19
1402	97	23	107	25
1403	111	26	99	25
1404	111	25	118	19
1405	118	24	100	26
1406	122	24	119	26
1407	104	15	107	16
1408	116	16	103	15
1409	100	12	106	14
1410	103	21	108	27
1411	112	24	103	25
1412	90	23	113	21
1413	94	23	94	26
1414	111	14	102	13
1415	89	22	112	18
1416	113	26	106	25
1417	101	20	107	28
1418	89	14	93	15
1419	107	32	95	30
1420	116	32	116	31
1421	108	18	105	24
1422	123	32	102	34
1423	112	14	99	18
1424	107	16	92	16
1425	104	10	92	15
1426	93	21	125	28
1427	110	36	113	39
1428	91	24	102	20
1429	98	22	85	28
1430	92	23	105	31
1431	103	24	126	30
1432	123	20	121	19
1433	105	17	122	26
1434	105	23	109	18
1435	102	14	111	14
1436	111	18	116	19
1437	105	19	105	17
1438	105	21	117	21
1439	111	23	93	22
1440	105	13	101	15
1441	129	32	119	28
1442	99	17	104	28
1443	123	18	113	27
1444	101	25	110	24
1445	108	16	119	18
1446	107	28	92	27
1447	105	20	108	20
1448	107	26	99	28
1449	86	18	96	18
1450	110	36	99	39
1451	113	19	105	24
1452	102	25	105	28
1453	117	32	109	35
1454	101	22	107	20
1455	114	17	110	18
1456	105	18	116	16
1457	99	27	110	25
1458	120	27	105	20
1459	91	19	105	25
1460	102	30	101	33
1461	120	25	118	24
1462	90	12	107	19
1463	112	18	100	22
1464	116	20	99	25
1465	109	28	89	35
1466	97	22	102	22
1467	112	27	117	26
1468	95	19	126	18
1469	116	19	105	28
1470	111	21	114	24
1471	101	26	111	32
1472	93	23	100	25
1473	123	22	119	26
1474	98	21	98	21
1475	105	29	113	27
1476	112	24	111	23
1477	109	18	109	13
1478	99	25	98	21
1479	95	30	102	25
1480	99	21	127	24
1481	97	32	90	28
1482	106	22	107	25
1483	125	17	97	22
1484	93	22	94	25
1485	105	21	105	25
1486	109	11	97	10
1487	117	19	113	20
1488	100	23	97	26
1489	93	26	104	24
1490	99	28	94	22
1491	112	34	105	27
1492	111	26	97	23
1493	108	19	82	25
1494	99	20	107	28
1495	108	27	104	36
1496	106	23	104	20
1497	117	26	107	22
1498	97	28	106	25
1499	109	18	111	15
1500	109	24	114	29
1501	99	25	101	28
1502	111	28	100	30
1503	84	29	95	24
1504	107	22	120	24
1505	105	21	105	18
1506	114	34	104	30
1507	98	23	96	27
1508	119	24	100	21
1509	103	31	104	29
1510	111	17	116	12
1511	123	20	131	17
1512	94	15	116	11
1513	113	30	129	24
1514	102	25	98	20
1515	104	16	101	15
1516	130	19	129	12
1517	92	9	104	10
1518	121	29	119	24
1519	100	28	96	26
1520	99	24	93	23
1521	101	20	118	20
1522	103	27	103	14
1523	110	32	118	26
1524	105	20	92	12
1525	105	16	110	13
1526	91	23	117	24
1527	91	18	101	21
1528	96	30	113	26
1529	94	27	97	23
1530	97	35	109	37
1531	102	33	103	26
1532	94	27	92	29
1533	115	24	106	26
1534	104	16	113	18
1535	98	27	128	19
1536	106	20	108	20
1537	124	21	112	20
1538	104	25	113	24
1539	89	24	115	24
1540	102	16	99	16
1541	121	15	118	18
1542	128	30	130	28
1543	111	28	120	25
1544	108	21	103	21
1545	86	21	87	19
1546	98	29	95	24
1547	121	36	122	29
1548	102	21	81	19
1549	103	20	110	20
1550	104	15	106	19
1551	101	27	98	28
1552	100	30	113	20
1553	119	24	117	28
1554	123	16	112	18
1555	114	19	105	33
1556	111	22	112	20
1557	120	26	126	25
1558	102	21	104	16
1559	106	21	132	21
1560	95	26	91	24
1561	117	16	106	16
1562	104	28	112	22
1563	103	30	97	30
1564	90	31	90	25
1565	119	22	120	20
1566	101	26	108	24
1567	88	22	85	26
1568	103	22	112	29
1569	112	31	105	31
1570	102	22	98	21
1571	124	19	110	17
1572	109	21	98	17
1573	96	31	101	25
1574	95	26	88	25
1575	101	17	106	14
1576	113	18	116	18
1577	109	23	122	22
1578	125	24	111	16
1579	106	14	114	16
1580	134	30	118	34
1581	98	13	92	20
1582	103	32	103	28
1583	109	24	107	20
1584	83	29	91	30
1585	122	24	108	27
1586	117	19	116	17
1587	133	23	121	24
1588	100	22	107	25
1589	105	18	111	21
1590	125	17	116	18
1591	101	25	102	22
1592	112	27	101	22
1593	120	28	108	31
1594	104	19	98	13
1595	97	34	104	37
1596	98	19	95	16
1597	104	17	110	13
1598	131	15	123	19
1599	112	19	109	23
1600	108	26	117	29
1601	93	22	94	27
1602	105	22	97	22
1603	106	28	111	28
1604	86	16	109	17
1605	93	21	96	21
1606	98	24	84	27
1607	115	38	112	36
1608	117	29	111	28
1609	102	24	109	21
1610	119	19	108	14
1611	95	31	117	32
1612	107	30	105	18
1613	116	17	104	21
1614	119	17	106	16
1615	117	25	102	26
1616	87	26	104	28
1617	109	33	109	31
1618	104	30	113	26
1619	97	26	113	24
1620	107	23	90	22
1621	120	23	120	16
1622	122	26	119	16
1623	109	17	101	20
1624	99	24	102	22
1625	109	25	89	28
1626	100	20	97	19
1627	106	26	111	22
1628	96	27	92	29
1629	124	17	118	19
1630	103	20	106	20
1631	119	14	107	17
1632	116	17	121	17
1633	111	27	99	24
1634	108	19	113	14
1635	122	20	110	17
1636	116	19	107	20
1637	108	22	108	19
1638	103	28	105	20
1639	104	23	94	18
1640	87	13	94	12
1641	107	22	97	24
1642	107	17	109	15
1643	109	19	116	18
1644	116	21	94	20
1645	90	26	93	23
1646	89	23	110	19
1647	110	23	99	21
1648	119	16	107	15
1649	125	18	129	16
1650	101	24	99	23
1651	99	22	102	25
1652	109	29	112	28
1653	105	15	104	16
1654	111	18	113	17
1655	123	32	104	22
1656	108	15	124	13
1657	98	18	106	17
1658	99	24	101	22
1659	108	26	109	23
1660	113	16	104	27
1661	99	27	116	24
1662	119	19	108	23
1663	95	19	104	25
1664	101	15	98	18
1665	99	21	102	20
1666	101	25	91	24
1667	102	28	109	22
1668	104	19	105	24
1669	95	22	103	30
1670	93	16	84	17
1671	109	21	124	22
1672	118	20	119	16
1673	79	29	78	28
1674	111	20	96	20
1675	104	31	101	32
1676	107	18	100	20
1677	112	23	107	29
1678	103	23	92	30
1679	121	24	100	25
1680	110	24	107	22
1681	99	24	123	28
1682	124	24	111	18
1683	115	22	117	28
1684	110	21	111	21
1685	98	20	88	22
1686	111	25	118	21
1687	105	19	111	20
1688	129	16	117	20
1689	119	18	108	16
1690	110	18	97	21
1691	109	31	91	34
1692	103	20	109	21
1693	107	20	107	18
1694	113	17	101	20
1695	95	25	106	27
1696	99	27	112	29
1697	100	14	107	16
1698	124	15	122	20
1699	126	21	125	22
1700	130	19	105	20
1701	117	22	113	23
1702	109	16	97	18
1703	104	22	120	22
1704	112	42	95	41
1705	108	15	111	15
1706	115	18	122	20
1707	102	21	117	19
1708	113	29	110	18
1709	109	20	119	19
1710	111	19	112	23
1711	102	23	117	24
1712	100	16	107	14
1713	106	26	99	31
1714	99	27	100	23
1715	93	24	109	23
1716	121	21	99	26
1717	108	25	98	25
1718	88	20	106	16
1719	120	27	100	23
1720	105	24	124	22
1721	107	24	105	19
1722	107	23	108	21
1723	116	24	123	23
1724	117	14	126	19
1725	108	14	112	9
1726	118	17	114	22
1727	92	22	114	23
1728	94	21	93	21
1729	115	27	111	34
1730	116	18	100	18
1731	113	18	114	19
1732	98	20	96	23
1733	115	22	108	26
1734	122	25	92	26
1735	98	28	115	33
1736	97	18	105	23
1737	102	19	104	16
1738	117	32	115	23
1739	104	19	112	14
1740	98	20	111	18
1741	100	17	110	13
1742	109	22	105	24
1743	99	23	105	22
1744	109	18	117	19
1745	107	23	114	26
1746	90	23	86	34
1747	92	23	102	21
1748	118	19	104	19
1749	118	22	107	27
1750	110	24	92	29
1751	107	25	103	20
1752	97	18	110	21
1753	113	20	104	25
1754	114	22	129	18
1755	93	17	97	14
1756	99	25	106	22
1757	95	30	90	31
1758	134	32	107	23
1759	108	24	113	26
1760	111	15	116	13
1761	106	17	111	21
1762	113	29	101	24
1763	115	24	98	18
1764	119	16	121	14
1765	121	17	103	21
1766	105	23	112	24
1767	108	27	121	36
1768	105	19	105	21
1769	111	27	118	34
1770	103	16	110	17
1771	117	20	105	24
1772	134	15	108	14
1773	85	25	113	29
1774	128	25	108	32
1775	110	18	109	14
1776	108	26	103	33
1777	107	20	95	17
1778	105	15	105	13
1779	108	23	104	25
1780	116	18	94	24
1781	114	23	107	30
1782	92	17	91	27
1783	115	25	102	27
1784	105	25	100	35
1785	92	26	117	28
1786	106	25	93	22
1787	106	17	98	20
1788	98	24	112	20
1789	109	25	118	23
1790	94	26	105	27
1791	97	20	97	19
1792	100	15	111	16
1793	104	22	110	22
1794	96	32	114	25
1795	85	19	100	17
1796	111	20	118	22
1797	83	24	107	23
1798	108	21	121	22
1799	92	28	105	20
1800	117	27	121	28
1801	104	20	106	22
1802	126	23	116	24
1803	103	29	115	29
1804	111	35	94	29
1805	116	18	109	17
1806	119	19	132	24
1807	108	12	105	12
1808	102	23	111	20
1809	105	24	99	27
1810	113	20	115	22
1811	113	21	105	20
1812	96	24	91	28
1813	114	22	133	24
1814	108	15	96	15
1815	132	23	106	23
1816	107	17	108	18
1817	110	30	104	35
1818	119	19	98	26
1819	109	29	106	27
1820	109	25	118	26
1821	111	23	106	22
1822	118	21	114	21
1823	117	14	116	11
1824	120	28	112	25
1825	95	28	105	36
1826	103	22	90	25
1827	118	21	97	21
1828	104	14	91	15
1829	96	19	115	17
1830	104	35	94	32
1831	103	30	97	29
1832	111	22	114	18
1833	127	20	122	21
1834	114	21	111	21
1835	115	24	101	25
1836	108	26	110	22
1837	110	22	106	21
1838	116	21	118	27
1839	115	21	107	19
1840	92	18	101	19
1841	113	14	113	11
1842	115	25	119	25
1843	94	27	97	26
1844	92	20	77	20
1845	99	30	104	30
1846	85	15	87	11
1847	108	26	130	22
1848	98	27	91	24
1849	111	18	104	14
1850	109	24	112	28
1851	118	26	114	21
1852	101	27	85	23
1853	106	37	107	30
1854	118	15	107	17
1855	95	31	103	29
1856	101	16	103	13
1857	103	27	111	20
1858	120	21	110	23
1859	107	20	90	16
1860	123	27	112	22
1861	100	28	98	25
1862	91	29	110	24
1863	112	19	90	22
1864	110	19	100	19
1865	103	30	108	31
1866	105	22	97	25
1867	84	23	103	18
1868	114	31	106	24
1869	97	28	92	28
1870	113	14	94	17
1871	120	32	115	29
1872	95	16	113	14
1873	108	32	109	25
1874	122	21	112	24
1875	111	21	115	23
1876	93	16	100	17
1877	111	24	104	20
1878	105	31	114	19
1879	94	19	96	18
1880	103	25	103	18
1881	111	27	107	29
1882	116	24	103	23
1883	107	20	97	17
1884	106	25	116	17
1885	107	16	95	16
1886	114	32	112	24
1887	115	22	111	23
1888	108	25	112	20
1889	107	13	110	19
1890	110	21	108	15
1891	121	13	106	16
1892	104	24	100	24
1893	104	25	118	19
1894	110	13	101	18
1895	116	21	110	16
1896	100	29	97	23
1897	93	28	106	24
1898	102	25	79	17
1899	108	30	116	36
1900	101	17	105	20
1901	109	26	107	19
1902	111	31	103	31
1903	98	18	96	20
1904	103	27	118	17
1905	122	25	118	19
1906	114	31	90	22
1907	102	30	95	26
1908	100	13	114	15
1909	103	23	129	24
1910	110	27	101	28
1911	107	32	108	28
1912	96	26	108	20
1913	99	27	99	24
1914	109	31	112	29
1915	96	20	99	19
1916	109	31	103	24
1917	114	22	106	22
1918	96	21	108	16
1919	117	16	103	18
1920	110	25	118	20
1921	99	20	119	16
1922	121	24	113	21
1923	108	12	106	15
1924	136	23	119	16
1925	102	18	115	14
1926	112	13	108	14
1927	124	29	132	26
1928	97	28	101	22
1929	96	21	103	15
1930	100	28	111	23
1931	105	11	115	13
1932	109	26	113	29
1933	95	33	116	23
1934	116	17	102	17
1935	125	29	95	23
1936	98	21	112	19
1937	124	25	91	28
1938	122	20	99	20
1939	102	21	108	22
1940	109	18	108	17
1941	102	30	110	25
1942	89	17	88	18
1943	119	23	114	21
1944	108	31	120	27
1945	108	24	104	33
1946	120	18	97	17
1947	95	21	99	22
1948	95	28	87	24
1949	131	30	102	25
1950	108	24	112	25
1951	93	27	104	19
1952	119	25	110	21
1953	106	17	110	15
1954	110	32	108	33
1955	112	25	96	27
1956	115	14	108	20
1957	110	32	82	31
1958	105	17	111	16
1959	121	16	129	21
1960	130	24	123	27
1961	103	29	105	22
1962	115	23	100	29
1963	103	11	86	14
1964	122	12	113	15
1965	105	20	100	20
1966	105	26	112	23
1967	103	38	104	30
1968	105	25	112	23
1969	108	17	91	18
1970	97	16	114	16
1971	122	27	115	28
1972	118	20	126	19
1973	98	24	94	26
1974	118	23	108	24
1975	100	21	114	21
1976	127	31	117	33
1977	110	21	89	22
1978	109	15	91	17
1979	101	20	129	22
1980	111	16	104	23
1981	121	16	113	15
1982	105	26	115	25
1983	98	17	115	18
1984	105	21	101	27
1985	107	19	109	23
1986	108	20	93	20
1987	91	25	108	23
1988	124	22	107	23
1989	102	15	93	21
1990	114	21	111	25
1991	114	18	113	22
1992	113	21	101	23
1993	97	24	115	25
1994	105	27	102	25
1995	103	29	108	31
1996	113	21	97	24
1997	87	17	103	15
1998	99	29	128	25
1999	104	17	101	20
