NoOfDeaths	MinBlueDeath	MajBlueDeath	MinRedDeath	MajReadDeath
0	105	2380	103	2369
1	355	1105	324	1122
2	555	397	578	382
3	705	89	644	90
4	652	24	639	28
5	505	5	543	5
6	356	0	383	3
7	251	0	263	1
8	191	0	217	0
9	129	0	136	0
10	77	0	63	0
11	48	0	39	0
12	31	0	32	0
13	16	0	18	0
14	10	0	4	0
15	4	0	9	0
16	6	0	4	0
19	1	0	1	0
20	3	0	0	0
