NoOfDeaths	oldblueDeath	youngblueDeath	oldredDeath	youngredDeath
0	85	2913	102	2875
1	288	750	296	792
2	458	246	511	232
3	681	66	618	61
4	617	19	615	28
5	532	4	526	8
6	424	1	426	4
7	314	1	304	0
8	195	0	212	0
9	158	0	140	0
10	98	0	92	0
11	56	0	64	0
12	40	0	36	0
13	22	0	23	0
14	12	0	13	0
15	10	0	11	0
16	3	0	4	0
17	7	0	2	0
18	0	0	2	0
19	0	0	1	0
21	0	0	1	0
22	0	0	1	0
